               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079083,            0.035184,              0.0421,           0.0037385,             0.52616,           0.0085058,           0.0029893,            0.047368,            0.026151,            0.033912,              0.0775,              0.0025,              0.0025
                   1,            0.066697,            0.032854,            0.044396,             0.12307,             0.29043,              0.1082,            0.042254,            0.037961,            0.018923,            0.031838,             0.05405,           0.0050495,           0.0050495
                   2,            0.051773,            0.024838,            0.036983,            0.079768,             0.37574,            0.092341,            0.035181,            0.045665,            0.015379,            0.030712,            0.030548,           0.0075475,           0.0075475
                   3,            0.048052,            0.022888,            0.036985,            0.092593,             0.23964,              0.1205,            0.037987,            0.034761,            0.012424,            0.030552,            0.009703,            0.009703,            0.009703
                   4,            0.047316,            0.022983,            0.038544,              0.1171,             0.22349,             0.16882,             0.06625,            0.035791,            0.011076,            0.030775,            0.009703,            0.009703,            0.009703
                   5,            0.042977,            0.022306,             0.03599,             0.17069,             0.57366,             0.23205,            0.082255,            0.036004,            0.011478,            0.029994,            0.009604,            0.009604,            0.009604
                   6,            0.040964,            0.021352,            0.039916,             0.13287,             0.62415,             0.21744,            0.092064,             0.02821,            0.010761,            0.030128,            0.009505,            0.009505,            0.009505
                   7,            0.041066,            0.021168,            0.037084,             0.18349,             0.58523,             0.25226,             0.13919,            0.023347,            0.009397,            0.029855,            0.009406,            0.009406,            0.009406
                   8,            0.036753,            0.019177,            0.037205,             0.13228,             0.63067,             0.22456,             0.07815,            0.030496,           0.0094407,            0.029611,            0.009307,            0.009307,            0.009307
                   9,            0.042587,            0.019741,            0.041803,             0.16603,             0.65787,             0.28699,             0.17591,            0.020233,            0.008552,             0.02942,            0.009208,            0.009208,            0.009208
                  10,            0.031478,            0.019052,            0.034224,             0.22736,             0.66117,             0.34573,             0.22586,             0.01941,           0.0079271,            0.029099,            0.009109,            0.009109,            0.009109
                  11,            0.030562,            0.019326,            0.036061,             0.22302,             0.66459,             0.37645,             0.22008,            0.020029,           0.0079005,            0.029011,             0.00901,             0.00901,             0.00901
                  12,            0.031677,            0.018183,            0.035784,             0.23988,             0.66277,             0.38171,             0.25952,             0.01759,           0.0078825,            0.028789,            0.008911,            0.008911,            0.008911
                  13,            0.027537,            0.018166,            0.032074,             0.22161,             0.73368,             0.37149,             0.23029,            0.021653,           0.0076488,            0.028846,            0.008812,            0.008812,            0.008812
                  14,            0.031641,            0.017848,            0.034971,             0.21852,             0.76743,             0.38422,             0.26918,            0.016186,           0.0073952,            0.028462,            0.008713,            0.008713,            0.008713
                  15,            0.036876,            0.017552,            0.041668,              0.2191,             0.79594,             0.40943,              0.2749,            0.017968,           0.0071703,            0.028217,            0.008614,            0.008614,            0.008614
                  16,            0.030958,            0.016172,            0.036148,             0.22129,             0.80419,             0.41759,              0.2379,            0.021973,           0.0073451,            0.027922,            0.008515,            0.008515,            0.008515
                  17,            0.035211,            0.016467,            0.036231,             0.22978,             0.75111,             0.43887,             0.29836,            0.017924,           0.0069147,            0.027354,            0.008416,            0.008416,            0.008416
                  18,            0.031614,             0.01742,            0.032883,             0.24048,             0.72686,             0.45626,             0.25361,             0.02012,           0.0067864,            0.026874,            0.008317,            0.008317,            0.008317
                  19,            0.028386,            0.015872,            0.035316,             0.24399,             0.81451,             0.47772,             0.29409,            0.018634,           0.0068082,            0.026388,            0.008218,            0.008218,            0.008218
                  20,            0.029231,            0.016057,            0.030913,             0.26648,             0.73985,             0.48548,             0.28511,            0.021216,           0.0066957,            0.025937,            0.008119,            0.008119,            0.008119
                  21,             0.02822,            0.015849,            0.033958,             0.28512,             0.73028,             0.48999,             0.30796,            0.019385,           0.0065797,            0.025655,             0.00802,             0.00802,             0.00802
                  22,            0.029754,            0.016259,            0.034708,             0.29791,             0.72811,             0.51361,             0.31935,            0.019363,           0.0066094,            0.025409,            0.007921,            0.007921,            0.007921
                  23,            0.028183,            0.015517,            0.033943,             0.30906,             0.72686,             0.52577,             0.35323,              0.0174,           0.0067211,            0.024859,            0.007822,            0.007822,            0.007822
                  24,            0.026589,            0.016439,            0.034438,             0.32983,             0.71921,             0.54372,             0.38196,            0.014668,            0.006624,            0.024231,            0.007723,            0.007723,            0.007723
                  25,            0.025758,            0.016121,            0.031711,             0.30887,             0.77019,             0.52797,              0.3674,            0.016895,            0.006319,            0.023917,            0.007624,            0.007624,            0.007624
                  26,            0.028013,            0.015564,            0.032486,             0.34941,             0.75875,             0.55818,             0.39129,            0.015736,           0.0063927,             0.02353,            0.007525,            0.007525,            0.007525
                  27,            0.022373,            0.014501,            0.031002,             0.36238,             0.73762,             0.56533,             0.36239,            0.018643,           0.0063907,            0.023247,            0.007426,            0.007426,            0.007426
                  28,            0.024882,            0.014925,            0.031238,             0.36358,             0.76361,             0.57522,             0.40631,              0.0153,           0.0061483,            0.022877,            0.007327,            0.007327,            0.007327
                  29,            0.023291,            0.014264,            0.029552,             0.40175,             0.70487,             0.58344,             0.42427,            0.013574,             0.00624,            0.022012,            0.007228,            0.007228,            0.007228
                  30,            0.022451,            0.015473,            0.031027,             0.36914,             0.75137,             0.58453,             0.38506,            0.017117,           0.0062883,             0.02179,            0.007129,            0.007129,            0.007129
                  31,            0.025796,             0.01593,            0.032256,             0.35822,             0.83033,             0.59934,             0.40299,            0.016389,           0.0064412,            0.021295,             0.00703,             0.00703,             0.00703
                  32,            0.029132,            0.014624,            0.034684,             0.34372,             0.81588,             0.57556,             0.39981,            0.015715,           0.0062152,            0.020855,            0.006931,            0.006931,            0.006931
                  33,            0.022283,            0.015127,            0.030379,             0.39519,             0.78539,             0.61135,             0.42491,            0.016261,            0.006173,            0.020366,            0.006832,            0.006832,            0.006832
                  34,            0.026303,            0.015851,            0.032173,             0.40967,             0.74659,             0.62709,             0.44616,            0.015836,            0.006046,            0.019986,            0.006733,            0.006733,            0.006733
                  35,            0.028084,              0.0153,            0.031598,             0.43235,             0.77297,             0.64003,             0.45239,            0.016124,           0.0059718,            0.019377,            0.006634,            0.006634,            0.006634
                  36,            0.027025,            0.014205,            0.031328,             0.45383,             0.73091,             0.66195,             0.49424,            0.014453,           0.0059559,            0.019098,            0.006535,            0.006535,            0.006535
                  37,            0.023017,            0.014553,            0.028145,             0.48333,             0.68362,             0.68001,             0.47607,             0.01552,           0.0058657,            0.018514,            0.006436,            0.006436,            0.006436
                  38,            0.027227,            0.014669,            0.033045,             0.51672,             0.68407,             0.69239,             0.52219,            0.013595,           0.0059908,            0.018172,            0.006337,            0.006337,            0.006337
                  39,             0.02531,            0.014944,            0.032329,             0.56051,             0.71478,             0.71765,             0.52376,            0.014077,           0.0059291,            0.017928,            0.006238,            0.006238,            0.006238
                  40,            0.027222,            0.014573,            0.032338,              0.6147,             0.67495,             0.72857,             0.55875,            0.013309,           0.0059566,            0.017571,            0.006139,            0.006139,            0.006139
                  41,            0.026212,            0.015024,            0.028913,             0.61587,             0.70527,             0.74081,             0.52409,            0.016343,           0.0057906,            0.016746,             0.00604,             0.00604,             0.00604
                  42,            0.024043,            0.014235,            0.030013,             0.64215,             0.69157,             0.75787,             0.58856,            0.013444,           0.0056744,             0.01613,            0.005941,            0.005941,            0.005941
                  43,             0.02064,            0.015067,            0.030181,             0.65569,             0.74126,             0.79177,              0.5747,            0.016003,           0.0057608,            0.015943,            0.005842,            0.005842,            0.005842
                  44,            0.020249,            0.013585,            0.024089,             0.66605,             0.76661,             0.80304,             0.58494,            0.015833,           0.0056689,            0.015357,            0.005743,            0.005743,            0.005743
                  45,            0.025729,            0.015242,            0.029445,             0.69442,             0.73717,             0.81641,             0.63955,            0.013035,            0.005589,             0.01524,            0.005644,            0.005644,            0.005644
